epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.90475,1.90686,2.25205,4.07576,1.05775,0,0,0,0,0,0,0,0,2.01008,2.39203,3.76581,1.17153,0,0,0
2,4.95333,2.12307,2.9424,3.71118,1.26157,0,0,0,0,0,0,0,0,1.93564,2.34751,3.75981,1.15356,1.9802e-05,1.9802e-05,1.9802e-05
3,7.47136,2.50307,3.13675,3.66811,1.30209,0,0,0,0,0,0,0,0,1.81002,2.29373,3.7556,1.13063,3.9208e-05,3.9208e-05,3.9208e-05
4,9.29641,2.60992,1.86897,3.73305,1.21444,0,0,0,0,0,0,0,0,1.73768,2.19622,3.74897,1.1051,5.8218e-05,5.8218e-05,5.8218e-05
5,10.918,1.92645,2.75957,3.63413,1.10297,0.00685,0.25,0.01185,0.00315,0.00685,0.25,0.01185,0.00592,1.63263,2.08145,3.73157,1.07778,7.6832e-05,7.6832e-05,7.6832e-05
6,12.2779,1.95293,2.72505,3.60181,1.08952,0.00667,0.25,0.01196,0.00638,0.00667,0.25,0.01196,0.00877,1.5652,1.97473,3.66983,1.03538,9.505e-05,9.505e-05,9.505e-05
7,13.8885,1.48359,2.43158,3.50335,1.05936,0.00667,0.25,0.01233,0.0066,0.00667,0.25,0.01233,0.00863,1.50052,1.93108,3.59533,0.9541,0.000112872,0.000112872,0.000112872
8,15.1908,1.19053,2.03301,3.16501,0.97293,0.00667,0.25,0.01478,0.00887,0.01,0.375,0.02252,0.01088,1.42551,1.7747,3.49008,0.92522,0.000130298,0.000130298,0.000130298
9,16.7006,1.14847,1.38295,3.13979,0.87502,0.00667,0.25,0.01478,0.00887,0.01,0.375,0.02252,0.01088,1.42551,1.7747,3.49008,0.92522,0.000147328,0.000147328,0.000147328
10,17.9794,1.00168,1.5424,3.38672,0.9255,0.01,0.375,0.02396,0.01041,0.01,0.375,0.02396,0.0113,1.40459,1.68182,3.42583,0.90282,0.000163962,0.000163962,0.000163962
11,19.2515,1.28529,1.64986,2.96187,0.9012,0.01,0.375,0.02396,0.01041,0.01,0.375,0.02396,0.0113,1.40459,1.68182,3.42583,0.90282,0.0001802,0.0001802,0.0001802
